INDEX, KEY, TSTART [UT], TPEAK [UT], TFINAL [UT], IXPEAK [W/m^2], LAT [deg], LON [deg], ARNUM,Confined/Eruptive,E_TOTAL[erg cm^-1] ,AREA_HED[CM^2],Flux_HED [Mx],SHEAR[DEG],UJ_MEAN[mA m^-2],J_TOTAL[A],UHC_MEAN[G^2 m^-1],HC_TOTAL[G^2 m^-1],GBH_MEAN[G m^-1],ALP_MEAN [Mm^-1],LPIL [Mm]
0, 20100612_0030_11081_M2.0, 2010-06-12 00:30, 2010-06-12 00:57, 2010-06-12 01:02,2.00E-05,23,43,11081,E,8.16E+22,1.65E+18,3.37E+20,58.415,0.0102622,1.43E+12,0.0347913,36.4265,0.000153558,0.0624932,42.1
1, 20100713_1043_11087_C2.6, 2010-07-13 10:43, 2010-07-13 10:51, 2010-07-13 10:55,2.60E-06,19,-26,11087,C,1.54E+22,5.40E+17,7.69E+19,68.3817,0.00646731,3.41E+11,0.00246657,0.979228,7.54E-05,0.113643,4.93015
2, 20100727_0412_11089_C2.2, 2010-07-27 04:12, 2010-07-27 04:24, 2010-07-27 04:34,2.20E-06,-24,21,11089,C,2.93E+21,1.24E+17,3.67E+19,50.3718,0.00824569,8.77E+10,0.0138267,1.10614,0.000116952,-0.00764967,4.02
3, 20101016_1907_11112_M2.9, 2010-10-16 19:07, 2010-10-16 19:12, 2010-10-16 19:25,2.90E-05,-20,26,11112,C,3.62E+22,9.70E+17,1.02E+20,61.9823,0.00836452,7.48E+11,0.0126307,8.50049,0.000106888,0.0594175,14.7
4, 20101025_2206_11117_C2.3, 2010-10-25 22:06, 2010-10-25 22:12, 2010-10-25 22:18,2.30E-06,22,-12,11117,C,2.94E+22,9.49E+17,2.83E+20,49.1782,0.00959031,9.78E+11,0.0323702,24.8279,0.000196134,0.000723823,12.3
5, 20101111_0715_11123_C4.7, 2010-11-11 07:15, 2010-11-11 07:24, 2010-11-11 07:28,4.70E-06,-27,-14,11123,E,2.99E+22,7.51E+17,9.41E+19,61.2714,0.00882697,6.30E+11,0.0202794,10.89,0.00012391,0.0648138,11.3
6, 20101115_0728_11124_C2.3, 2010-11-15 07:28, 2010-11-15 07:49, 2010-11-15 08:01,2.30E-06,12,22,11124,C,4.39E+22,1.32E+18,2.76E+20,46.3761,0.00925126,1.15E+12,0.0171507,16.0702,0.000140569,-0.00752091,5.89
7, 20110215_0144_11158_X2.2, 2011-02-15 01:44, 2011-02-15 01:56, 2011-02-15 02:17,2.20E-04,-20,10,11158,E,4.03E+23,7.63E+18,2.01E+21,56.0664,0.00940175,7.26E+12,0.0286055,166.255,0.000125965,0.052648,49.1
8, 20110309_2313_11166_X1.5, 2011-03-09 23:13, 2011-03-09 23:23, 2011-03-09 23:33,1.50E-04,8,9,11166,C,3.22E+23,6.63E+18,1.92E+21,58.3447,0.00929883,6.14E+12,0.0364378,180.95,0.000147099,0.00495495,92
9, 20110324_1201_11176_M1.0, 2011-03-24 12:01, 2011-03-24 12:07, 2011-03-24 12:11,1.00E-05,-16,-43,11176,E,4.36E+22,1.35E+18,3.29E+20,57.0462,0.00828843,1.23E+12,0.0147334,16.3982,0.000108518,0.0246511,31.2
10, 20110330_1942_11183_C1.9, 2011-03-30 19:42, 2011-03-30 20:05, 2011-03-30 20:13,1.90E-06,15,-39,11183,C,1.19E+21,6.15E+16,4.69E+18,65.5866,0.00771776,4.41E+10,0.0136549,0.58716,0.000148882,-0.0102001,3.66
11, 20110415_1702_11190_M1.3, 2011-04-15 17:02, 2011-04-15 17:12, 2011-04-15 17:28,1.30E-05,14,19,11190,C,1.64E+23,4.04E+18,1.34E+21,40.7926,0.00950588,3.78E+12,0.031554,94.5041,0.000143495,-0.019997,56.1
12, 20110422_0435_11195_M1.8, 2011-04-22 04:35, 2011-04-22 04:57, 2011-04-22 05:14,1.80E-05,-18,-43,11195,C,1.83E+23,4.61E+18,9.79E+20,57.7087,0.00861308,4.05E+12,0.021703,76.6982,0.000127367,0.0447985,82.2
13, 20110515_2325_11208_C4.8, 2011-05-15 23:25, 2011-05-15 23:34, 2011-05-15 23:41,4.80E-06,11,33,11208,E,1.07E+22,3.38E+17,8.42E+19,39.5888,0.00703131,2.93E+11,0.0171309,5.36197,0.000113881,1.95E-02,15.6
