AR,level,time,energy,shear_mean,uj_mean,uhc_mean,GBH_MEAN,ALP_MEAN
11081,M,201006110712,1.54E+21,40.14098,0.009391,0.001629,0.00007,1.107669
11081,M,201006110748,2.58E+21,37.997585,0.006421,0.005038,0.000082,0.398806
11081,M,201006110824,2.93E+21,36.18811,0.007989,0.006424,0.000096,0.017601
11081,M,201006110900,2.62E+21,34.616253,0.008859,0.001887,0.000081,0.309894
11081,M,201006110936,3.25E+21,37.803925,0.010679,0.004495,0.000096,0.433335
11081,M,201006111012,3.35E+21,38.414883,0.011891,0.009615,0.000108,0.564195
11081,M,201006111048,6.51E+21,46.89772,0.010296,0.004086,0.000092,0.080117
11081,M,201006111124,4.84E+21,41.120224,0.010966,0.005652,0.000097,0.532994
11081,M,201006111200,8.02E+21,38.641945,0.0107,0.006007,0.000102,0.431979
11081,M,201006111236,9.86E+21,46.509907,0.009502,0.002831,0.000092,0.131649
11081,M,201006111312,9.22E+21,52.695526,0.010202,0.003138,0.000088,0.290432
11081,M,201006111348,6.13E+21,39.868423,0.01012,0.003446,0.000088,0.342388
11081,M,201006111424,6.21E+21,38.176769,0.00998,0.003697,0.000085,0.13625
11081,M,201006111500,5.88E+21,37.317707,0.010474,0.008144,0.000109,0.08091
11081,M,201006111536,8.60E+21,53.196449,0.00971,0.010497,0.000097,0.181951
11081,M,201006111612,8.22E+21,42.615665,0.009196,0.005338,0.000097,0.074332
11081,M,201006111648,1.21E+22,52.798149,0.0096,0.011936,0.000112,0.032189
11081,M,201006111724,1.04E+22,46.257339,0.009938,0.006584,0.000101,0.144135
11081,M,201006111800,1.18E+22,41.34819,0.008415,0.00711,0.000101,0.066565
11081,M,201006111836,1.05E+22,42.576923,0.008307,0.006752,0.000103,0.031031
11081,M,201006111912,1.48E+22,46.878284,0.010564,0.015109,0.000125,0.03757
11081,M,201006111948,2.48E+22,46.810371,0.009312,0.010103,0.000113,0.007175
11081,M,201006112024,3.45E+22,50.705315,0.010468,0.010562,0.000121,0.007162
11081,M,201006112100,3.96E+22,50.776657,0.010733,0.016004,0.000137,0.014855
11081,M,201006112136,4.44E+22,48.945858,0.010229,0.035036,0.000124,0.140445
11081,M,201006112212,5.56E+22,52.764347,0.009807,0.027098,0.000125,0.074631
11081,M,201006112248,7.08E+22,56.433182,0.010169,0.030125,0.000129,0.02224
11081,M,201006112324,7.46E+22,55.807129,0.010013,0.030986,0.000125,0.022734
11081,M,201006120000,7.53E+22,56.911583,0.01013,0.031308,0.000131,0.056508
11087,C,201007121036,3.83E+22,66.785225,0.00823,0.014528,0.000106,0.148286
11087,C,201007121112,3.89E+22,61.336567,0.008576,0.013117,0.000105,0.14413
11087,C,201007121148,3.25E+22,62.270031,0.008453,0.014381,0.000108,0.185167
11087,C,201007121224,2.96E+22,59.365005,0.008455,0.015036,0.000103,0.210311
11087,C,201007121300,3.14E+22,59.748104,0.008881,0.014093,0.000099,0.143071
11087,C,201007121336,3.27E+22,61.150974,0.008168,0.009761,0.000095,0.126685
11087,C,201007121412,3.18E+22,61.625031,0.008975,0.010813,0.000099,0.136728
11087,C,201007121448,3.41E+22,61.452381,0.007776,0.007878,0.000099,0.093482
11087,C,201007121524,3.32E+22,62.653606,0.00783,0.008048,0.000093,0.086754
11087,C,201007121600,3.21E+22,66.082413,0.007592,0.008345,0.000094,0.060781
11087,C,201007121636,3.51E+22,67.53167,0.007487,0.008026,0.000089,0.067315
11087,C,201007121712,3.38E+22,66.091125,0.007268,0.009499,0.000091,0.075328
11087,C,201007121748,3.43E+22,67.533417,0.007618,0.008243,0.000093,0.084888
11087,C,201007121824,3.17E+22,64.720245,0.007765,0.008887,0.000092,0.079326
11087,C,201007121900,2.92E+22,66.577057,0.007657,0.009462,0.000097,0.065734
11087,C,201007121936,2.94E+22,63.434608,0.008033,0.009399,0.000094,0.034717
11087,C,201007122012,2.91E+22,65.470665,0.009048,0.009138,0.000097,0.097506
11087,C,201007122048,2.92E+22,65.323593,0.0087,0.008348,0.000104,0.083364
11087,C,201007122124,2.78E+22,65.600342,0.00856,0.008324,0.000103,0.051653
11087,C,201007122200,2.73E+22,68.764442,0.008661,0.008408,0.000102,0.036577
11087,C,201007122236,2.64E+22,69.838432,0.007419,0.007165,0.000096,0.031152
11087,C,201007122312,2.54E+22,68.658165,0.00836,0.00834,0.000097,0.05503
11087,C,201007122348,2.37E+22,67.483673,0.007682,0.007007,0.000087,0.046448
11087,C,201007130024,2.21E+22,68.361038,0.00665,0.004936,0.000083,0.027563
11087,C,201007130100,2.18E+22,66.420982,0.007389,0.005211,0.00008,0.024837
11087,C,201007130136,2.07E+22,67.622948,0.00708,0.005636,0.000086,0.047428
11087,C,201007130212,1.90E+22,65.819328,0.007527,0.005898,0.000083,0.059407
11087,C,201007130248,2.09E+22,66.990601,0.007389,0.005992,0.000087,0.02985
11087,C,201007130324,2.11E+22,67.622993,0.007406,0.006571,0.000085,0.097042
11087,C,201007130400,1.88E+22,69.608101,0.007751,0.007186,0.000096,0.051235
